VENDOR NAME,INVENTORY DETAIL,Rev,QUANTITY,DESCRIPTION,
LLCS2543,LX90042730,C02 - 05,1.000000,
LLCS2543,LX90038816,C02 - 05,1.000000,
LLCS2543,LX90038817,C02 - 05,1.000000,
LLCS2543,LX90038818,C02 - 05,1.000000,
LLCS2543,LX90042721,C02 - 05,1.000000,
LLCS2543,LX90042720,C02 - 05,1.000000,
LLCS2543,LX90042719,C02 - 05,1.000000,
LLCS2543,LX90038785,C02 - 05,1.000000,
LLCS2543,LX90038784,C02 - 05,1.000000,
LLCS2543,LX90038787,C02 - 05,1.000000,
LLCS2543,LX90038903,C02 - 05,1.000000,
LLCS2543,LX90038904,C02 - 05,1.000000,
LLCS2543,LX90038905,C02 - 05,1.000000,
LLCS2543,LX90042731,C02 - 05,1.000000,
LLCS2543,LX90042732,C02 - 05,1.000000,
LLCS2543,LX90042733,C02 - 05,1.000000,
LLCS2543,LX90038815,C02 - 05,1.000000,
LLCS2543,LX90038814,C02 - 05,1.000000,
LLCS2543,LX90038813,C02 - 05,1.000000,
LLCS2543,LX90042727,C02 - 05,1.000000,
LLCS2543,LX90042726,C02 - 05,1.000000,
LLCS2543,LX90042725,C02 - 05,1.000000,
LLCS2543,LX90038783,C02 - 05,1.000000,
LLCS2543,LX90038786,C02 - 05,1.000000,
LLCS2543,LX90038788,C02 - 05,1.000000,
LLCS2543,LX90042722,C02 - 05,1.000000,
LLCS2543,LX90042723,C02 - 05,1.000000,
LLCS2543,LX90042724,C02 - 05,1.000000,
LLCS2543,LX90042736,C02 - 05,1.000000,
LLCS2543,LX90042735,C02 - 05,1.000000,
LLCS2543,LX90042734,C02 - 05,1.000000,
LLCS2543,LX90038908,C02 - 05,1.000000,
LLCS2543,LX90038907,C02 - 05,1.000000,
LLCS2543,LX90038906,C02 - 05,1.000000,
LLCS2556,LX90032043,C02 - 10,1.000000,no housing
LLCS2556,LX90032042,C03 - 11,1.000000,no housing
LLCS2556,LX90032045,C02 - 10,1.000000,no housing
LLCS2556,LX90045989,C02 - 10,1.000000,no housing
LLCS2556,LX90045986,C02 - 10,1.000000,no housing
LLCS2556,LX90045987,C02 - 10,1.000000,no housing
LLCS2556,LX90031962,C02 - 10,1.000000,no housing
LLCS2556,LX90034940,C02 - 09,1.000000,no housing
LLCS2556,LX90034941,C02 - 09,1.000000,no housing
LLCS2556,LX90046049,C02 - 10,1.000000,no housing
LLCS2556,LX90046056,C02 - 10,1.000000,no housing
LLCS2556,LX90046055,C02 - 10,1.000000,no housing
LLCS2556,LX90045984,C02 - 10,1.000000,no housing
LLCS2556,LX90045985,C02 - 10,1.000000,no housing
LLCS2556,LX90045983,C02 - 10,1.000000,no housing
LLCS2556,LX90046079,C02 - 10,1.000000,no housing
LLCS2556,LX90046111,C02 - 10,1.000000,no housing
LLCS2556,LX90046112,C02 - 10,1.000000,no housing
LLCS2556,LX90041230,C02 - 10,1.000000,no housing
